Samling;Nr;Titel;Dato;PDF;
19602;92;Referat af møde nr. 92 den 7. juni 1961 kl. 13:00;07-06-1961;https://www.folketingstidende.dk/samling/19602/salen/M92/19602_M92_referat.pdf;
19602;91;Referat af møde nr. 91 den 6. juni 1961 kl. 14:00;06-06-1961;https://www.folketingstidende.dk/samling/19602/salen/M91/19602_M91_referat.pdf;
19602;90;Referat af møde nr. 90 den 2. juni 1961 kl. 13:00;02-06-1961;https://www.folketingstidende.dk/samling/19602/salen/M90/19602_M90_referat.pdf;
19602;89;Referat af møde nr. 89 den 1. juni 1961 kl. 13:00;01-06-1961;https://www.folketingstidende.dk/samling/19602/salen/M89/19602_M89_referat.pdf;
19602;88;Referat af møde nr. 88 den 31. maj 1961 kl. 14:00;31-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M88/19602_M88_referat.pdf;
19602;87;Referat af møde nr. 87 den 19. maj 1961 kl. 13:00;19-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M87/19602_M87_referat.pdf;
19602;86;Referat af møde nr. 86 den 18. maj 1961 kl. 13:00;18-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M86/19602_M86_referat.pdf;
19602;85;Referat af møde nr. 85 den 17. maj 1961 kl. 13:00;17-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M85/19602_M85_referat.pdf;
19602;84;Referat af møde nr. 84 den 16. maj 1961 kl. 14:00;16-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M84/19602_M84_referat.pdf;
19602;83;Referat af møde nr. 83 den 15. maj 1961 kl. 04:15;15-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M83/19602_M83_referat.pdf;
19602;82;Referat af møde nr. 82 den 15. maj 1961 kl. 02:00;15-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M82/19602_M82_referat.pdf;
19602;81;Referat af møde nr. 81 den 14. maj 1961 kl. 23:30;14-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M81/19602_M81_referat.pdf;
19602;80;Referat af møde nr. 80 den 14. maj 1961 kl. 19:00;14-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M80/19602_M80_referat.pdf;
19602;79;Referat af møde nr. 79 den 14. maj 1961 kl. 15:00;14-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M79/19602_M79_referat.pdf;
19602;78;Referat af møde nr. 78 den 12. maj 1961 kl. 14:00;12-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M78/19602_M78_referat.pdf;
19602;77;Referat af møde nr. 77 den 10. maj 1961 kl. 14:00;10-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M77/19602_M77_referat.pdf;
19602;76;Referat af møde nr. 76 den 10. maj 1961 kl. 10:00;10-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M76/19602_M76_referat.pdf;
19602;75;Referat af møde nr. 75 den 9. maj 1961 kl. 14:00;09-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M75/19602_M75_referat.pdf;
19602;74;Referat af møde nr. 74 den 5. maj 1961 kl. 13:00;05-05-1961;https://www.folketingstidende.dk/samling/19602/salen/M74/19602_M74_referat.pdf;
