Johs Burgdorf;Det Konservative Folkeparti;1966
Alfred Bøgh;Venstre;1966
Chr R Christensen;Det Konservative Folkeparti;1966
Henry Christensen;Venstre;1966
Rigmor Christensen;Det Radikale Venstre;1966
Robert Christensen;Venstre;1966
E Haunstrup Clemmensen;Det Konservative Folkeparti;1966
Poul Dalsager;Socialdemokratiet;1966
Peter Mohr Dam;Javnaðarflokkurin;1966
Pia Dam;Socialistisk Folkeparti;1966
Poul Dam;Socialistisk Folkeparti;1966
Mads Eg Damgaard;Det Konservative Folkeparti;1966
Kresten Damsgaard;Venstre;1966
Børge Diderichsen;Liberalt Centrum;1966
Erling Dinesen;Socialdemokratiet;1966
Edvin Dose;Socialdemokratiet;1966
Gunhild Due;Socialistisk Folkeparti;1966
Knud Enggaard;Venstre;1966
Erik Eriksen;Venstre;1966
Niels Eriksen;Venstre;1966
P E Eriksen;Venstre;1966
S A Fanger;Det Konservative Folkeparti;1966
Per Federspiel;Venstre;1966
Jens Frandsen;Venstre;1966
Simon J From;Venstre;1966
Peter Gorrsen;Socialdemokratiet;1966
Niels Gottschalck-Hansen;Det Konservative Folkeparti;1966
Victor Gram;Socialdemokratiet;1966
Lis Groes;Socialdemokratiet;1966
Henry Grünbaum;Socialdemokratiet;1966
Ove Guldberg;Venstre;1966
Andreas Hansen;Socialdemokratiet;1966
Erik Hansen;Det Radikale Venstre;1966
Holger Hansen;Venstre;1966
Inger-Lise Bech Hansen;Liberalt Centrum;1966
Jørgen Peder Hansen;Socialdemokratiet;1966
Lysholt Hansen;Socialdemokratiet;1966
Ove Hansen;Socialdemokratiet;1966
Ove Krog Hansen;Socialistisk Folkeparti;1966
Poul Hansen;Socialdemokratiet;1966
Poul Hartling;Venstre;1966
Aage Hastrup;Det Konservative Folkeparti;1966
Viggo Hauch;Venstre;1966
Svend Haugaard;Det Radikale Venstre;1966
Thomas Have;Socialdemokratiet;1966
Knud Hertling;Uden for partierne;1966
Gustav Holmberg;Venstre;1966
Erik Holst;Socialdemokratiet;1966
Sv Horn;Socialdemokratiet;1966
Hans Hækkerup;Socialdemokratiet;1966
Per Hækkerup;Socialdemokratiet;1966
Kai Ibsen;Socialistisk Folkeparti;1966
Arthur Jacobsen;Det Radikale Venstre;1966
Erhard Jakobsen;Socialdemokratiet;1966
Frode Jakobsen;Socialdemokratiet;1966
Asger Jensen;Det Konservative Folkeparti;1966
Carl P Jensen;Socialdemokratiet;1966
Egon Jensen;Socialdemokratiet;1966
Evan Jensen;Venstre;1966
Jens Peter Jensen;Venstre;1966
Jørgen Jensen;Det Konservative Folkeparti;1966
Søren Jensen;Venstre;1966
A Stæhr Johansen;Det Konservative Folkeparti;1966
Anker Jørgensen;Socialdemokratiet;1966
Peter Jørgensen;Socialdemokratiet;1966
Jens Kampmann;Socialdemokratiet;1966
Poul Kampp;Socialistisk Folkeparti;1966
J Risgaard Knudsen;Socialdemokratiet;1966
Bodil Koch;Socialdemokratiet;1966
Conrad Kofoed;Venstre;1966
Ib Kolbjørn;Socialdemokratiet;1966
Jens Otto Krag;Socialdemokratiet;1966
Erik Kragh;Det Konservative Folkeparti;1966
Ejner Kristensen;Venstre;1966
Evald Kristensen;Socialdemokratiet;1966
